respondent_id,aura_interest_label,art_experience_level,art_forms_interest,art_watercolour,art_acrylic,art_mandala,art_fluid_pour,art_sketching,art_digital_art,art_indian_classical,art_resin,art_pottery,art_calligraphy,exp_art_workshop,exp_gaming_zone,exp_escape_room,exp_cooking_class,exp_pottery_studio,exp_music_dance,exp_yoga_wellness,exp_vr_experience,prod_session_kit,prod_mandala_kit,prod_heritage_kit,prod_fluid_kit,prod_watercolour_set,prod_sketchbook,prod_resin_kit,prod_monthly_box,prod_gift_bundle,prod_app_sub,wknd_mall_shopping,wknd_gaming,wknd_fitness,wknd_movies_ott,wknd_art_craft,wknd_music,wknd_dining_out,wknd_travel,wknd_reading,wknd_socialising
AURA_0001,Interested,Curious_Beginner,Mandala,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
AURA_0002,Interested,Advanced,Watercolour,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
AURA_0003,Maybe,Casual_Hobbyist,Indian_Classical|Resin|Sketching|Watercolour,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
AURA_0004,Interested,Regular_Hobbyist,Digital_Art|Fluid_Pour,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0
AURA_0005,Interested,Curious_Beginner,Acrylic|Indian_Classical|Pottery|Sketching,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
AURA_0006,Interested,Advanced,Digital_Art|Mandala|Sketching,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
AURA_0007,Interested,Complete_Beginner,Calligraphy|Fluid_Pour,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
AURA_0008,Interested,Advanced,Acrylic|Digital_Art|Mandala|Pottery|Resin,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
AURA_0009,Interested,Regular_Hobbyist,Digital_Art|Mandala|Resin|Sketching|Watercolour,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1
AURA_0010,Not_Interested,Complete_Beginner,Fluid_Pour|Indian_Classical|Mandala|Resin,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
AURA_0011,Interested,Casual_Hobbyist,Acrylic|Mandala|Resin|Watercolour,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
AURA_0012,Interested,Regular_Hobbyist,Fluid_Pour|Pottery,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
AURA_0013,Interested,Curious_Beginner,Digital_Art|Fluid_Pour|Indian_Classical|Watercolour,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
AURA_0014,Interested,Complete_Beginner,Digital_Art|Fluid_Pour|Indian_Classical|Mandala|Resin,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
AURA_0015,Interested,Regular_Hobbyist,Mandala|Resin|Watercolour,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0
AURA_0016,Interested,Curious_Beginner,Digital_Art|Fluid_Pour,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1
AURA_0017,Interested,Curious_Beginner,Calligraphy,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
AURA_0018,Not_Interested,Complete_Beginner,Digital_Art|Fluid_Pour|Indian_Classical|Sketching,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1
AURA_0019,Interested,Casual_Hobbyist,Acrylic|Digital_Art|Fluid_Pour|Sketching|Watercolour,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
AURA_0020,Not_Interested,Complete_Beginner,Fluid_Pour,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
AURA_0021,Interested,Regular_Hobbyist,Digital_Art|Fluid_Pour|Indian_Classical|Mandala|Watercolour,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
AURA_0022,Interested,Casual_Hobbyist,Acrylic|Fluid_Pour|Indian_Classical|Mandala,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
AURA_0023,Interested,Curious_Beginner,Acrylic|Fluid_Pour|Resin,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
AURA_0024,Interested,Curious_Beginner,Digital_Art|Indian_Classical|Mandala|Resin|Watercolour,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0
AURA_0025,Interested,Casual_Hobbyist,Fluid_Pour|Resin,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AURA_0026,Maybe,Advanced,Calligraphy|Mandala|Resin,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
AURA_0027,Interested,Casual_Hobbyist,Indian_Classical|Mandala|Pottery|Watercolour,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0
AURA_0028,Interested,Advanced,Digital_Art|Fluid_Pour|Resin|Sketching,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0
AURA_0029,Interested,Curious_Beginner,Indian_Classical,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0
AURA_0030,Not_Interested,Casual_Hobbyist,Acrylic|Fluid_Pour|Indian_Classical|Resin,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
AURA_0031,Interested,Complete_Beginner,Fluid_Pour|Indian_Classical|Mandala|Resin|Sketching,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
AURA_0032,Interested,Casual_Hobbyist,Fluid_Pour|Indian_Classical|Mandala|Resin|Watercolour,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AURA_0033,Not_Interested,Casual_Hobbyist,Acrylic|Mandala|Sketching,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
AURA_0034,Maybe,Regular_Hobbyist,Calligraphy|Digital_Art|Pottery|Sketching,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
AURA_0035,Not_Interested,Advanced,Pottery,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
AURA_0036,Interested,Advanced,Acrylic|Fluid_Pour|Watercolour,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
AURA_0037,Interested,Curious_Beginner,Mandala|Watercolour,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
AURA_0038,Interested,Curious_Beginner,Acrylic|Fluid_Pour|Mandala|Pottery,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
AURA_0039,Not_Interested,Curious_Beginner,Calligraphy|Fluid_Pour|Indian_Classical|Pottery|Watercolour,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1
AURA_0040,Not_Interested,Casual_Hobbyist,Pottery|Watercolour,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
AURA_0041,Maybe,Complete_Beginner,Watercolour,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1
AURA_0042,Interested,Casual_Hobbyist,Digital_Art|Fluid_Pour|Indian_Classical|Resin,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
