respondent_id,credential_motivation,motivation_type,community_feature_appeal,subscription_wtp,subscription_wtp_numeric,artbox_wtp,artbox_wtp_numeric,purchase_style,session_format_preference,preferred_session_duration,tech_comfort_score_s2,concept_nps_score,top_valued_feature,gifting_intent,open_conversion_requirement,referral_propensity,subscription_intent_label
AURA_1099,Moderate,Intrinsic_Skill,Yes_Somewhat,Below_99,60,,649,Planned,Guided_Stepwise,60_min,3,8,Community_Gallery,Definitely,Corporate team building package must have good group pricing,Probably,Not_Interested_Sub
AURA_1053,Moderate,Quality_Time,Neutral,Below_99,60,499_799,649,Impulse,Guided_Freestyle,90_min,3,10,Supply_Quality,Definitely,Price must be under 500 for me to try it first,Probably,Try_Free_Trial
AURA_0264,LinkedIn_Only,Social_Content,Neutral,99_199,149,499_799,649,Offer_Driven,Guided_Stepwise,90_min,2,8,AI_Coaching,Probably,I'd love a date night version with my partner,Probably,Try_Free_Trial
AURA_1787,Strong_Yes,Status_Signal,Yes_Somewhat,99_199,149,,649,Social_Proof,Guided_Stepwise,60_min,4,9,AI_Coaching,Probably,Good quality brushes and paints — not cheap materials,Probably,Try_Free_Trial
AURA_0837,Moderate,Social_Content,Yes_Strongly,349_499,424,499_799,649,Planned,Guided_Stepwise,45_min,3,8,Indian_Art_Content,Maybe,Integration with Instagram for direct sharing would be amazing,Maybe,Try_Free_Trial
AURA_1112,LinkedIn_Only,Quality_Time,No,199_349,274,299_499,399,Social_Proof,Guided_Freestyle,20_min,3,9,Supply_Quality,Definitely,I'd love a date night version with my partner,Definitely,Subscribe_Immediately
AURA_1494,Moderate,Quality_Time,,349_499,424,299_499,399,Social_Proof,Guided_Stepwise,90_min,4,9,,Definitely,Need to support Hindi language tutorials,Definitely,Try_Free_Trial
AURA_1029,Moderate,Social_Content,Yes_Strongly,Below_99,60,No_Box,0,Offer_Driven,Guided_Stepwise,90_min,4,8,Community_Gallery,Probably,I want to see my progress visually tracked over time,Definitely,Not_Interested_Sub
AURA_0903,LinkedIn_Only,Intrinsic_Skill,Yes_Somewhat,349_499,424,499_799,649,Planned,Guided_Stepwise,90_min,5,9,Indian_Art_Content,Maybe,I'd love a date night version with my partner,No,Pay_Per_Session
AURA_0123,LinkedIn_Only,Intrinsic_Skill,Yes_Strongly,199_349,274,499_799,649,Offer_Driven,Guided_Freestyle,45_min,5,9,Supply_Quality,Definitely,The AI coaching should feel like a real teacher,Probably,Pay_Per_Session
AURA_1737,Not_Motivated,Wellness,Yes_Strongly,No_Subscription,0,299_499,399,Planned,Guided_Freestyle,45_min,2,10,Indian_Art_Content,Probably,Integration with Instagram for direct sharing would be amazing,Definitely,Subscribe_Immediately
