respondent_id,age_group,gender,city,city_tier,occupation,income_bracket,income_numeric_approx,preferred_language,monthly_leisure_spend,subscription_count,online_exp_purchase_freq,social_platforms,weekend_activities,decision_autonomy,art_experience_level,creative_self_identity,creativity_mindset,social_orientation,reward_preference,social_sharing_propensity,participation_barrier,creative_motivation,art_forms_interest,experiences_tried,product_interest,preferred_visit_time,instagram_influence_score,companion_type,gifting_frequency,travel_tolerance,preferred_pod_location,session_wtp,session_wtp_numeric,monthly_art_spend,discount_preference,price_sensitivity_score,tech_comfort_score,acquisition_source,competitive_substitute,visit_frequency_intent,recommend_likelihood,aura_interest_label,art_watercolour,art_acrylic,art_mandala,art_fluid_pour,art_sketching,art_digital_art,art_indian_classical,art_resin,art_pottery,art_calligraphy,exp_art_workshop,exp_gaming_zone,exp_escape_room,exp_cooking_class,exp_pottery_studio,exp_music_dance,exp_yoga_wellness,exp_vr_experience,prod_session_kit,prod_mandala_kit,prod_heritage_kit,prod_fluid_kit,prod_watercolour_set,prod_sketchbook,prod_resin_kit,prod_monthly_box,prod_gift_bundle,prod_app_sub,wknd_mall_shopping,wknd_gaming,wknd_fitness,wknd_movies_ott,wknd_art_craft,wknd_music,wknd_dining_out,wknd_travel,wknd_reading,wknd_socialising,credential_motivation,motivation_type,community_feature_appeal,subscription_wtp,subscription_wtp_numeric,artbox_wtp,artbox_wtp_numeric,purchase_style,session_format_preference,preferred_session_duration,tech_comfort_score_s2,concept_nps_score,top_valued_feature,gifting_intent,open_conversion_requirement,referral_propensity,subscription_intent_label
AURA_0001,25_34,Male,Hyderabad,Tier1,Self_Employed,1L_2L,150000,Telugu,7000,1_2,Rarely,Reels_Shorts|YouTube,Art_Craft|Dining_Out|Movies_OTT|Socialising,Mention_After,Curious_Beginner,Want_To_Be,Fixed,Extrovert,Delayed,Definitely_Post,No_Time,Pure_Curiosity,Mandala,Gaming_Zone|None|Yoga_Wellness,Heritage_Kit|Monthly_Box,Evening,3,Partner,Rarely,30min,Mall,Above_1200,1547,,First_Free,2,3,Word_of_Mouth,Cafe_Chill,Once_month,8,Interested,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,LinkedIn_Only,Social_Content,No,349_499,424,299_499,399,Impulse,Guided_Freestyle,60_min,2,8,Indian_Art_Content,Probably,I want to see my progress visually tracked over time,No,Subscribe_Immediately
AURA_0002,45_54,Male,Kolkata,Tier1,Salaried_NonIT,50k_1L,75000,Bengali,4900,3_5,Once_month,None|Pinterest,Dining_Out|Music,Fully_Independent,Advanced,Am_Creative,Fixed,Introvert,Both,Keep_Private,No_Barrier,Professional_Growth,Watercolour,Cooking_Class|Escape_Room,App_Sub,Afternoon|Weekend_Only,2,Friends,Rarely,30min,Cafe_CoWork,400_700,691,3000,Monthly_Pass,3,3,Google_Search,Multiplex,Once_month,8,Interested,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,Moderate,Intrinsic_Skill,No,Above_499,599,499_799,649,Offer_Driven,Challenge_Mode,45_min,3,10,Supply_Quality,Probably,Need to support Hindi language tutorials,Definitely,Pay_Per_Session
AURA_0003,35_44,Female,Kolkata,Tier1,Homemaker,Below_25k,15000,,1200,0,Rarely,YouTube,Dining_Out|Mall_Shopping|Movies_OTT,Fully_Independent,Casual_Hobbyist,Want_To_Be,Unsure,Ambivert,Delayed,Close_Circle,Social_Anxiety,Stress_Relief,Indian_Classical|Resin|Sketching|Watercolour,Pottery_Studio,Heritage_Kit|Mandala_Kit|Sketchbook,Evening|Morning|Weekend_Only,3,Family_Kids,Occasionally,30min,Cafe_CoWork,Below_200,278,250,First_Free,4,3,,Cafe_Chill,Once_Try,7,Maybe,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Not_Motivated,Quality_Time,Yes_Somewhat,Below_99,60,499_799,649,Offer_Driven,Challenge_Mode,60_min,3,6,Skill_Progress,Probably,Would love a monthly challenge or competition,Maybe,Try_Free_Trial
AURA_0004,25_34,Male,Bengaluru,Tier1,Salaried_NonIT,Above_2L,300000,English,13400,3_5,2_3_month,Instagram,Dining_Out|Gaming|Mall_Shopping|Movies_OTT|Reading,Peer_Influenced,Regular_Hobbyist,Am_Creative,Growth,Extrovert,Both,Definitely_Post,No_Time,Social_Fun,Digital_Art|Fluid_Pour,Cooking_Class|Gaming_Zone|Music_Dance|Yoga_Wellness,Heritage_Kit|Sketchbook,Flexible,4,Solo,Occasionally,60min,Standalone_Studio,Above_1200,1640,0,No_Discount,1,4,WhatsApp,Another_Workshop,Once_month,8,Interested,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,Strong_Yes,Quality_Time,Yes_Somewhat,Above_499,599,Below_299,199,Planned,Guided_Freestyle,45_min,3,8,AI_Coaching,Probably,Integration with Instagram for direct sharing would be amazing,Definitely,Try_Free_Trial
AURA_0005,18_24,Male,Bengaluru,Tier1,Student,25k_50k,37500,English,3100,1_2,Occasionally,Instagram,,Consult_Partner,Curious_Beginner,Somewhat_Creative,Fixed,Extrovert,Both,Keep_Private,No_Guidance,Skill_Building,Acrylic|Indian_Classical|Pottery|Sketching,Cooking_Class|Escape_Room,Fluid_Kit|Sketchbook,Afternoon|Weekend_Only,3,Family_Kids,Never,15min,Standalone_Studio,400_700,398,0,Group_Discount,4,4,Other,Mall_Walk,Once_month,6,Interested,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Moderate,Wellness,Yes_Somewhat,199_349,274,Below_299,199,Offer_Driven,Guided_Freestyle,45_min,5,8,Pod_Aesthetics,Probably,Kids mode is a must for my family visits,Maybe,Subscribe_Immediately
AURA_0006,18_24,Female,Mumbai,Tier1,Homemaker,25k_50k,37500,Bilingual,2300,0,Occasionally,Pinterest|Reels_Shorts|YouTube,Fitness|Music,Mention_After,Advanced,Am_Creative,Fixed,Extrovert,Delayed,Keep_Private,No_Barrier,Social_Fun,Digital_Art|Mandala|Sketching,Art_Workshop|Escape_Room|None,Heritage_Kit|Monthly_Box|Session_Kit,Afternoon|Flexible,4,Family_Kids,Never,30min,Cafe_CoWork,Below_200,421,500,Festival_Offer,3,3,Instagram,Gaming,Once_month,6,Interested,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,Moderate,Status_Signal,Yes_Somewhat,99_199,149,499_799,649,Planned,Meditative,20_min,4,9,Community_Gallery,,"The pod should feel like a premium spa, not a DIY store",Probably,Not_Interested_Sub
AURA_0007,18_24,Male,Delhi_NCR,Tier1,Student,25k_50k,37500,Tamil,3400,3_5,Occasionally,Instagram|YouTube,Gaming|Mall_Shopping|Music|Socialising,Fully_Independent,Complete_Beginner,Somewhat_Creative,Growth,Ambivert,Delayed,Definitely_Post,No_Barrier,Pure_Curiosity,Calligraphy|Fluid_Pour,Escape_Room|Pottery_Studio,Session_Kit,Evening|Flexible|Weekend_Only,4,Friends,Never,Walking_5min,College_Campus,200_400,387,0,Monthly_Pass,4,3,Mall_Display,Mall_Walk,Occasionally,6,Interested,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,Strong_Yes,Intrinsic_Skill,No,199_349,274,499_799,649,Offer_Driven,Guided_Stepwise,20_min,4,8,Pod_Aesthetics,Probably,"The pod should feel like a premium spa, not a DIY store",Probably,Subscribe_Immediately
AURA_0008,45_54,Female,Delhi_NCR,Tier1,Salaried_IT,50k_1L,75000,,4200,3_5,Once_month,LinkedIn|None|YouTube,Fitness|Mall_Shopping|Movies_OTT|Socialising,Fully_Independent,Advanced,Am_Creative,Growth,Extrovert,Delayed,Close_Circle,No_Time,Stress_Relief,Acrylic|Digital_Art|Mandala|Pottery|Resin,Escape_Room|VR_Experience,Session_Kit,Flexible,2,Partner,Frequently,30min,Standalone_Studio,400_700,745,1000,First_Free,4,4,Google_Search,Cafe_Chill,Occasionally,7,Interested,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,Moderate,Quality_Time,Yes_Somewhat,199_349,274,No_Box,0,Impulse,Challenge_Mode,90_min,3,9,Indian_Art_Content,,"The pod should feel like a premium spa, not a DIY store",Probably,Subscribe_Immediately
AURA_0009,25_34,Male,Pune,Tier1,Self_Employed,1L_2L,150000,English,10500,1_2,Once_month,Reels_Shorts,Art_Craft|Mall_Shopping|Movies_OTT|Socialising,Mention_After,Regular_Hobbyist,Want_To_Be,Growth,Ambivert,Instant,Keep_Private,No_Time,Stress_Relief,Digital_Art|Mandala|Resin|Sketching|Watercolour,Gaming_Zone,App_Sub|Fluid_Kit|Mandala_Kit|Resin_Kit|Sketchbook,Afternoon|Evening|Weekend_Only,3,Friends,Frequently,No_Limit,Cafe_CoWork,400_700,826,2750,Festival_Offer,2,4,Corporate_HR,Mall_Walk,Once_month,6,Interested,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,LinkedIn_Only,Status_Signal,Yes_Strongly,349_499,424,799_1199,999,Planned,Challenge_Mode,60_min,5,7,Pod_Aesthetics,Maybe,Kids mode is a must for my family visits,Definitely,Pay_Per_Session
AURA_0011,Under_18,Male,Bengaluru,Tier1,Student,50k_1L,75000,Bilingual,4300,0,Occasionally,Instagram,Dining_Out|Movies_OTT|Socialising,Consult_Partner,Casual_Hobbyist,Am_Creative,Fixed,Ambivert,Instant,Keep_Private,Too_Expensive,Pure_Curiosity,Acrylic|Mandala|Resin|Watercolour,Gaming_Zone|None|VR_Experience|Yoga_Wellness,App_Sub|Fluid_Kit|Heritage_Kit|Resin_Kit|Watercolour_Set,Weekend_Only,3,Solo,Never,15min,College_Campus,400_700,749,1500,First_Free,4,4,Other,Multiplex,Occasionally,10,Interested,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,Moderate,Social_Content,Neutral,349_499,424,No_Box,0,Impulse,Challenge_Mode,45_min,5,8,Indian_Art_Content,Maybe,Good quality brushes and paints — not cheap materials,Probably,Try_Free_Trial
