respondent_id,age_group,gender,city,city_tier,occupation,income_bracket,income_numeric_approx,preferred_language,monthly_leisure_spend,subscription_count,online_exp_purchase_freq,social_platforms,weekend_activities,decision_autonomy,art_experience_level,creative_self_identity,creativity_mindset,social_orientation,reward_preference,social_sharing_propensity,participation_barrier,creative_motivation,art_forms_interest,experiences_tried,product_interest,preferred_visit_time,instagram_influence_score,companion_type,gifting_frequency,travel_tolerance,preferred_pod_location,session_wtp,session_wtp_numeric,monthly_art_spend,discount_preference,price_sensitivity_score,tech_comfort_score,acquisition_source,competitive_substitute,visit_frequency_intent,recommend_likelihood,aura_interest_label,art_watercolour,art_acrylic,art_mandala,art_fluid_pour,art_sketching,art_digital_art,art_indian_classical,art_resin,art_pottery,art_calligraphy,exp_art_workshop,exp_gaming_zone,exp_escape_room,exp_cooking_class,exp_pottery_studio,exp_music_dance,exp_yoga_wellness,exp_vr_experience,prod_session_kit,prod_mandala_kit,prod_heritage_kit,prod_fluid_kit,prod_watercolour_set,prod_sketchbook,prod_resin_kit,prod_monthly_box,prod_gift_bundle,prod_app_sub,wknd_mall_shopping,wknd_gaming,wknd_fitness,wknd_movies_ott,wknd_art_craft,wknd_music,wknd_dining_out,wknd_travel,wknd_reading,wknd_socialising
AURA_0001,25_34,Male,Hyderabad,Tier1,Self_Employed,1L_2L,150000,Telugu,7000,1_2,Rarely,Reels_Shorts|YouTube,Art_Craft|Dining_Out|Movies_OTT|Socialising,Mention_After,Curious_Beginner,Want_To_Be,Fixed,Extrovert,Delayed,Definitely_Post,No_Time,Pure_Curiosity,Mandala,Gaming_Zone|None|Yoga_Wellness,Heritage_Kit|Monthly_Box,Evening,3,Partner,Rarely,30min,Mall,Above_1200,1547,,First_Free,2,3,Word_of_Mouth,Cafe_Chill,Once_month,8,Interested,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
AURA_0002,45_54,Male,Kolkata,Tier1,Salaried_NonIT,50k_1L,75000,Bengali,4900,3_5,Once_month,None|Pinterest,Dining_Out|Music,Fully_Independent,Advanced,Am_Creative,Fixed,Introvert,Both,Keep_Private,No_Barrier,Professional_Growth,Watercolour,Cooking_Class|Escape_Room,App_Sub,Afternoon|Weekend_Only,2,Friends,Rarely,30min,Cafe_CoWork,400_700,691,3000,Monthly_Pass,3,3,Google_Search,Multiplex,Once_month,8,Interested,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
AURA_0003,35_44,Female,Kolkata,Tier1,Homemaker,Below_25k,15000,,1200,0,Rarely,YouTube,Dining_Out|Mall_Shopping|Movies_OTT,Fully_Independent,Casual_Hobbyist,Want_To_Be,Unsure,Ambivert,Delayed,Close_Circle,Social_Anxiety,Stress_Relief,Indian_Classical|Resin|Sketching|Watercolour,Pottery_Studio,Heritage_Kit|Mandala_Kit|Sketchbook,Evening|Morning|Weekend_Only,3,Family_Kids,Occasionally,30min,Cafe_CoWork,Below_200,278,250,First_Free,4,3,,Cafe_Chill,Once_Try,7,Maybe,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
AURA_0004,25_34,Male,Bengaluru,Tier1,Salaried_NonIT,Above_2L,300000,English,13400,3_5,2_3_month,Instagram,Dining_Out|Gaming|Mall_Shopping|Movies_OTT|Reading,Peer_Influenced,Regular_Hobbyist,Am_Creative,Growth,Extrovert,Both,Definitely_Post,No_Time,Social_Fun,Digital_Art|Fluid_Pour,Cooking_Class|Gaming_Zone|Music_Dance|Yoga_Wellness,Heritage_Kit|Sketchbook,Flexible,4,Solo,Occasionally,60min,Standalone_Studio,Above_1200,1640,0,No_Discount,1,4,WhatsApp,Another_Workshop,Once_month,8,Interested,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0
AURA_0005,18_24,Male,Bengaluru,Tier1,Student,25k_50k,37500,English,3100,1_2,Occasionally,Instagram,,Consult_Partner,Curious_Beginner,Somewhat_Creative,Fixed,Extrovert,Both,Keep_Private,No_Guidance,Skill_Building,Acrylic|Indian_Classical|Pottery|Sketching,Cooking_Class|Escape_Room,Fluid_Kit|Sketchbook,Afternoon|Weekend_Only,3,Family_Kids,Never,15min,Standalone_Studio,400_700,398,0,Group_Discount,4,4,Other,Mall_Walk,Once_month,6,Interested,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
AURA_0006,18_24,Female,Mumbai,Tier1,Homemaker,25k_50k,37500,Bilingual,2300,0,Occasionally,Pinterest|Reels_Shorts|YouTube,Fitness|Music,Mention_After,Advanced,Am_Creative,Fixed,Extrovert,Delayed,Keep_Private,No_Barrier,Social_Fun,Digital_Art|Mandala|Sketching,Art_Workshop|Escape_Room|None,Heritage_Kit|Monthly_Box|Session_Kit,Afternoon|Flexible,4,Family_Kids,Never,30min,Cafe_CoWork,Below_200,421,500,Festival_Offer,3,3,Instagram,Gaming,Once_month,6,Interested,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
AURA_0007,18_24,Male,Delhi_NCR,Tier1,Student,25k_50k,37500,Tamil,3400,3_5,Occasionally,Instagram|YouTube,Gaming|Mall_Shopping|Music|Socialising,Fully_Independent,Complete_Beginner,Somewhat_Creative,Growth,Ambivert,Delayed,Definitely_Post,No_Barrier,Pure_Curiosity,Calligraphy|Fluid_Pour,Escape_Room|Pottery_Studio,Session_Kit,Evening|Flexible|Weekend_Only,4,Friends,Never,Walking_5min,College_Campus,200_400,387,0,Monthly_Pass,4,3,Mall_Display,Mall_Walk,Occasionally,6,Interested,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
AURA_0008,45_54,Female,Delhi_NCR,Tier1,Salaried_IT,50k_1L,75000,,4200,3_5,Once_month,LinkedIn|None|YouTube,Fitness|Mall_Shopping|Movies_OTT|Socialising,Fully_Independent,Advanced,Am_Creative,Growth,Extrovert,Delayed,Close_Circle,No_Time,Stress_Relief,Acrylic|Digital_Art|Mandala|Pottery|Resin,Escape_Room|VR_Experience,Session_Kit,Flexible,2,Partner,Frequently,30min,Standalone_Studio,400_700,745,1000,First_Free,4,4,Google_Search,Cafe_Chill,Occasionally,7,Interested,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
AURA_0009,25_34,Male,Pune,Tier1,Self_Employed,1L_2L,150000,English,10500,1_2,Once_month,Reels_Shorts,Art_Craft|Mall_Shopping|Movies_OTT|Socialising,Mention_After,Regular_Hobbyist,Want_To_Be,Growth,Ambivert,Instant,Keep_Private,No_Time,Stress_Relief,Digital_Art|Mandala|Resin|Sketching|Watercolour,Gaming_Zone,App_Sub|Fluid_Kit|Mandala_Kit|Resin_Kit|Sketchbook,Afternoon|Evening|Weekend_Only,3,Friends,Frequently,No_Limit,Cafe_CoWork,400_700,826,2750,Festival_Offer,2,4,Corporate_HR,Mall_Walk,Once_month,6,Interested,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1
AURA_0010,35_44,Male,Bengaluru,Tier1,Salaried_NonIT,Below_25k,15000,Hindi,900,0,Rarely,Instagram|Reels_Shorts|YouTube,Dining_Out|Travel,Fully_Independent,Complete_Beginner,Am_Creative,Unsure,Extrovert,Both,Close_Circle,Too_Expensive,Stress_Relief,Fluid_Pour|Indian_Classical|Mandala|Resin,Pottery_Studio,Mandala_Kit|Resin_Kit|Session_Kit|Watercolour_Set,Lunch,2,Partner,Occasionally,15min,Office_Campus,200_400,166,250,Bundle_Pack,5,3,Instagram,Multiplex,Unlikely,9,Not_Interested,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
AURA_0011,Under_18,Male,Bengaluru,Tier1,Student,50k_1L,75000,Bilingual,4300,0,Occasionally,Instagram,Dining_Out|Movies_OTT|Socialising,Consult_Partner,Casual_Hobbyist,Am_Creative,Fixed,Ambivert,Instant,Keep_Private,Too_Expensive,Pure_Curiosity,Acrylic|Mandala|Resin|Watercolour,Gaming_Zone|None|VR_Experience|Yoga_Wellness,App_Sub|Fluid_Kit|Heritage_Kit|Resin_Kit|Watercolour_Set,Weekend_Only,3,Solo,Never,15min,College_Campus,400_700,749,1500,First_Free,4,4,Other,Multiplex,Occasionally,10,Interested,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
AURA_0012,55_plus,Male,Delhi_NCR,Tier1,Homemaker,25k_50k,37500,English,2500,6_plus,Weekly,None,Art_Craft|Fitness|Music,Fully_Independent,Regular_Hobbyist,Somewhat_Creative,Growth,Extrovert,Both,Keep_Private,Social_Anxiety,Skill_Building,Fluid_Pour|Pottery,Escape_Room|VR_Experience,Watercolour_Set,Afternoon|Lunch,1,Friends,Occasionally,60min,Office_Campus,400_700,751,1750,Bundle_Pack,5,2,Corporate_HR,Home_OTT,Once_month,4,Interested,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
AURA_0013,35_44,Female,Pune,Tier1,Other,50k_1L,75000,English,5600,3_5,Once_month,YouTube,Gaming|Reading,Mention_After,Curious_Beginner,Want_To_Be,Growth,Ambivert,Delayed,Probably_Post,Too_Expensive,Skill_Building,Digital_Art|Fluid_Pour|Indian_Classical|Watercolour,Music_Dance,Mandala_Kit|Session_Kit|Watercolour_Set,Flexible,3,Solo,Occasionally,60min,Cafe_CoWork,400_700,766,0,Monthly_Pass,3,3,Instagram,Home_OTT,Once_month,6,Interested,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
AURA_0014,18_24,Male,Mumbai,Tier1,Student,Below_25k,15000,Hindi,500,1_2,Occasionally,Instagram|Pinterest|YouTube,Fitness|Gaming|Mall_Shopping|Socialising,Fully_Independent,Complete_Beginner,Want_To_Be,Unsure,Introvert,Instant,Definitely_Post,No_Guidance,Skill_Building,Digital_Art|Fluid_Pour|Indian_Classical|Mandala|Resin,Gaming_Zone|Pottery_Studio,App_Sub,Afternoon|Evening,4,Solo,Rarely,30min,College_Campus,400_700,734,0,Bundle_Pack,4,4,Mall_Display,Mall_Walk,Occasionally,6,Interested,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
AURA_0015,18_24,Male,Chennai,Tier1,Student,25k_50k,37500,English,4000,1_2,Once_month,Instagram|Pinterest|YouTube,Dining_Out|Fitness|Mall_Shopping|Movies_OTT|Reading,Mention_After,Regular_Hobbyist,Somewhat_Creative,Unsure,Introvert,Instant,Probably_Post,No_Time,Stress_Relief,Mandala|Resin|Watercolour,Cooking_Class|None,Fluid_Kit|Heritage_Kit|Session_Kit,Evening,4,Solo,Never,15min,Mall,400_700,659,1250,,4,4,Instagram,Mall_Walk,Weekly,8,Interested,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0
AURA_0016,18_24,Male,Mumbai,Tier1,Salaried_NonIT,1L_2L,150000,Marathi,4300,6_plus,2_3_month,Pinterest|Reels_Shorts|YouTube,,Mention_After,Curious_Beginner,Somewhat_Creative,Growth,Extrovert,Both,Keep_Private,No_Barrier,,Digital_Art|Fluid_Pour,Cooking_Class|Escape_Room|Gaming_Zone|None,Sketchbook,Morning,3,Colleagues,Occasionally,15min,Standalone_Studio,700_1200,940,0,Group_Discount,2,3,Google_Search,Mall_Walk,Once_month,5,Interested,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1
AURA_0017,18_24,Male,Lucknow,Tier2,Student,25k_50k,37500,,1700,1_2,Rarely,Pinterest|Reels_Shorts,Art_Craft|Movies_OTT,Mention_After,Curious_Beginner,Want_To_Be,Growth,Extrovert,Instant,Probably_Post,Social_Anxiety,Pure_Curiosity,Calligraphy,Escape_Room,App_Sub|Gift_Bundle|Watercolour_Set,Evening,5,Solo,Rarely,15min,Cafe_CoWork,200_400,478,0,No_Discount,3,5,Instagram,Mall_Walk,Once_Try,6,Interested,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
